;PER;TX10;CPI
déc-10;16,1;2,966;0,662
janv-11;17;3,341;0,984
févr-11;17;3,444;1,124
mars-11;16,3;3,416;1,21
avr-11;17;3,449;1,316
mai-11;16,5;3,285;1,454
juin-11;15,5;2,963;1,584
juil-11;15,8;3,198;1,741
août-11;14,7;2,739;1,965
sept-11;13,4;2,145;1,988
oct-11;12,2;1,786;2,108
nov-11;13,6;1,999;2,138
déc-11;13,5;2,114;2,277
janv-12;13,7;1,876;2,277
févr-12;14,3;1,846;2,16
mars-12;15,1;2,037;2,248
avr-12;15,6;2,195;2,314
mai-12;15,4;1,958;2,252
juin-12;13,8;1,466;2,192
juil-12;14,7;1,579;2,11
août-12;14,7;1,539;1,935
sept-12;15,2;1,553;2,008
oct-12;15,6;1,623;1,995
nov-12;15,4;1,717;1,953
déc-12;15,4;1,629;1,9
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
